Carleton College;2,077;MN;7;0.97;20%;0.90;33,100;0.54;2.40;A;4.66;2.80;$281,000;0.51;$809,000;0.61;$14,818;0.86;1.98;$54,759;0.92;0.54;$422,963;0.08;12%;0.83;0.91;Thrive
Carnegie Mellon University;13,160;PA;25;0.89;17%;0.92;33,100;0.54;2.35;A-;4.33;2.60;$513,000;0.97;$1,327,000;0.97;$21,069;0.94;2.88;$55,465;0.96;0.68;$142,264;0.26;18%;0.96;1.21;Survive
Case Western Reserve University;10,662;OH;40;0.82;29%;0.86;60,500;0.74;2.42;B+;4.00;2.40;$415,000;0.92;$1,141,000;0.94;$17,270;0.89;2.75;$49,042;0.75;0.79;$176,961;0.21;13%;0.87;1.08;Survive
Catholic University of America;4,257;DC;139;0.40;84%;0.11;14,800;0.27;0.77;A-;4.33;2.60;$294,000;0.59;$847,000;0.68;$15,206;0.87;2.14;$45,804;0.69;0.23;$82,326;0.38;1%;0.14;0.52;Struggle
Centenary College of Louisiana;549;LA;157;0.31;60%;0.58;2,900;0.10;0.99;B;3.66;2.20;$223,000;0.14;$660,000;0.20;$7,282;0.26;0.59;$36,580;0.46;0.10;$241,238;0.15;0%;0.00;0.15;Struggle
Central College;1,077;IA;160;0.30;70%;0.39;9,900;0.18;0.87;B;3.66;2.20;$242,000;0.23;$677,000;0.24;$7,365;0.27;0.75;$37,296;0.48;0.11;$75,219;0.42;0%;0.00;0.42;Struggle
Central Michigan University;15,966;MI;240;0.11;69%;0.42;60,500;0.74;1.28;A;4.66;2.80;$257,000;0.34;$665,000;0.21;$6,130;0.08;0.63;$18,540;0.17;0.49;$11,398;0.90;1%;0.14;1.04;Survive
Centre College;1,433;KY;53;0.77;73%;0.31;14,800;0.27;1.35;B;3.66;2.20;$247,000;0.26;$691,000;0.27;$9,052;0.51;1.04;$41,700;0.58;0.20;$225,826;0.17;5%;0.62;0.79;Struggle
Chapman University;8,598;CA;125;0.45;54%;0.67;90,500;0.86;1.97;A;4.66;2.80;$241,000;0.22;$772,000;0.52;$9,015;0.50;1.25;$52,724;0.83;0.31;$45,833;0.57;5%;0.62;1.18;Perish
Chatham University;1,790;PA;185;0.24;55%;0.66;18,100;0.33;1.23;B+;4.00;2.40;$199,000;0.07;$555,000;0.04;$7,347;0.27;0.38;$37,611;0.49;0.08;$44,962;0.58;0%;0.00;0.58;Struggle
Claremont McKenna College;1,324;CA;7;0.97;9%;0.97;12,100;0.22;2.15;A-;4.33;2.60;$437,000;0.94;$1,147,000;0.94;$18,091;0.91;2.79;$54,405;0.89;0.65;$630,896;0.05;18%;0.96;1.01;Survive
Clark University;2,944;MA;91;0.60;59%;0.59;40,500;0.61;1.80;B;3.66;2.20;$251,000;0.29;$730,000;0.39;$9,709;0.59;1.26;$45,730;0.68;0.27;$148,393;0.25;10%;0.80;1.04;Perish
Clarke University;878;IA;218;0.16;82%;0.13;9,900;0.18;0.48;B;3.66;2.20;$218,000;0.12;$620,000;0.12;$6,392;0.13;0.37;$33,350;0.43;0.03;$31,429;0.68;3%;0.44;1.12;Perish
Clarkson University;3,651;NY;117;0.50;71%;0.37;33,100;0.54;1.40;B-;3.33;2.00;$416,000;0.92;$1,118,000;0.93;$9,604;0.57;2.42;$49,444;0.75;0.33;$54,321;0.53;2%;0.31;0.84;Struggle
Clemson University;21,940;SC;70;0.69;47%;0.73;135,000;0.92;2.34;A+;5.00;3.00;$330,000;0.75;$841,000;0.67;$6,840;0.19;1.61;$26,251;0.31;1.34;$33,810;0.66;1%;0.14;0.80;Thrive
Coe College;1,392;IA;130;0.44;67%;0.45;18,100;0.33;1.22;B;3.66;2.20;$265,000;0.38;$715,000;0.35;$6,201;0.09;0.82;$44,050;0.64;0.13;$66,726;0.46;2%;0.31;0.78;Struggle
Colby College;2,000;ME;11;0.95;13%;0.95;40,500;0.61;2.51;A-;4.33;2.60;$359,000;0.82;$925,000;0.80;$13,311;0.81;2.42;$55,210;0.94;0.62;$414,007;0.08;11%;0.82;0.90;Thrive
Colgate University;2,944;NY;17;0.93;25%;0.87;60,500;0.74;2.54;A;4.66;2.80;$381,000;0.86;$1,000,000;0.87;$13,294;0.81;2.54;$55,870;0.97;0.69;$313,724;0.12;8%;0.72;0.85;Thrive
College of Saint Benedict;1,764;MN;82;0.64;83%;0.11;2,400;0.08;0.83;A-;4.33;2.60;$287,000;0.54;$799,000;0.58;$7,210;0.24;1.37;$45,264;0.66;0.17;$44,277;0.59;4%;0.54;1.13;Perish
College of the Atlantic;322;ME;82;0.64;67%;0.46;6,600;0.14;1.23;B;3.66;2.20;$107,000;0.01;$347,000;0.00;$9,291;0.54;0.55;$43,542;0.63;0.09;$178,191;0.21;33%;1.00;1.20;Perish
College of the Holy Cross;2,913;MA;27;0.89;38%;0.80;22,200;0.40;2.08;A-;4.33;2.60;$370,000;0.84;$1,061,000;0.90;$11,361;0.72;2.47;$52,770;0.84;0.59;$268,866;0.14;3%;0.44;0.58;Thrive
College of William and Mary;7,986;VA;40;0.82;37%;0.80;27,100;0.48;2.10;C;2.66;1.60;$362,000;0.82;$931,000;0.81;$11,294;0.72;2.35;$34,336;0.44;0.66;$117,148;0.31;6%;0.67;0.98;Survive
Colorado College;2,106;CO;27;0.89;15%;0.93;60,500;0.74;2.55;A;4.66;2.80;$189,000;0.06;$632,000;0.13;$14,050;0.83;1.02;$55,470;0.96;0.28;$363,357;0.10;9%;0.76;0.86;Struggle
Colorado School of Mines;5,801;CO;84;0.63;49%;0.70;40,500;0.61;1.94;B+;4.00;2.40;$538,000;0.98;$1,364,000;0.98;$8,060;0.39;2.36;$28,774;0.35;1.14;$44,498;0.58;5%;0.62;1.20;Survive
Colorado State University-Fort Collins;25,601;CO;166;0.28;84%;0.10;1,600;0.07;0.45;A+;5.00;3.00;$285,000;0.53;$744,000;0.44;$7,702;0.34;1.31;$20,658;0.21;0.31;$14,498;0.85;0%;0.00;0.85;Struggle
Columbia University in the City of New York;26,072;NY;3;0.99;6%;0.99;301,000;0.99;2.98;A+;5.00;3.00;$537,000;0.98;$1,348,000;0.98;$57,219;1.00;2.95;$59,430;1.00;0.97;$416,893;0.08;14%;0.89;0.97;Survive
Concordia College at Moorhead;2,041;MN;132;0.43;61%;0.56;2,900;0.10;1.09;B+;4.00;2.40;$246,000;0.26;$679,000;0.25;$6,728;0.18;0.68;$39,878;0.53;0.12;$63,197;0.49;4%;0.54;1.03;Perish
Concordia University-Wisconsin;3,722;WI;281;0.03;65%;0.49;12,100;0.22;0.73;B;3.66;2.20;$223,000;0.14;$640,000;0.14;$7,804;0.36;0.64;$29,450;0.37;0.10;$20,519;0.77;0%;0.00;0.77;Struggle
Connecticut College;1,798;CT;46;0.81;38%;0.80;40,500;0.61;2.21;B-;3.33;2.00;$280,000;0.50;$815,000;0.62;$12,159;0.75;1.88;$54,820;0.92;0.33;$175,300;0.21;8%;0.72;0.94;Struggle
Cornell College;1,019;IA;68;0.70;61%;0.57;22,200;0.40;1.67;B;3.66;2.20;$216,000;0.11;$635,000;0.13;$7,003;0.22;0.47;$42,299;0.61;0.11;$76,273;0.41;6%;0.67;1.08;Perish
Cornell University;23,499;NY;17;0.93;11%;0.96;201,000;0.98;2.86;A+;5.00;3.00;$465,000;0.95;$1,216,000;0.96;$16,225;0.88;2.79;$55,188;0.94;0.95;$292,416;0.13;10%;0.80;0.93;Thrive
Covenant College;1,008;GA;148;0.35;97%;0.00;12,100;0.22;0.56;B;3.66;2.20;$213,000;0.10;$614,000;0.11;$6,257;0.10;0.31;$34,330;0.44;0.03;$41,714;0.61;4%;0.54;1.15;Perish
Creighton University;7,119;NE;104;0.55;71%;0.36;49,500;0.68;1.58;A-;4.33;2.60;$265,000;0.38;$792,000;0.57;$10,536;0.65;1.60;$39,916;0.54;0.45;$79,901;0.39;2%;0.31;0.71;Thrive
CUNY City College;10,988;NY;228;0.14;48%;0.72;2,400;0.08;0.93;C+;3.00;1.80;$342,000;0.78;$793,000;0.58;$10,179;0.63;1.98;$10,975;0.01;17.55;$28,135;0.71;2%;0.31;1.02;Survive
Daemen College;2,062;NY;263;0.06;54%;0.66;14,800;0.27;1.00;C+;3.00;1.80;$265,000;0.38;$682,000;0.25;$6,907;0.21;0.84;$28,580;0.35;0.16;$7,817;0.94;1%;0.14;1.08;Perish
Dallas Baptist University;3,077;TX;281;0.03;88%;0.06;18,100;0.33;0.41;B+;4.00;2.40;$227,000;0.16;$648,000;0.16;$7,497;0.30;0.63;$28,870;0.36;0.06;$16,713;0.83;0%;0.00;0.83;Struggle
Dartmouth College;6,436;NH;12;0.95;9%;0.97;60,500;0.74;2.66;A;4.66;2.80;$444,000;0.95;$1,179,000;0.95;$14,866;0.86;2.76;$55,453;0.95;0.80;$853,667;0.03;11%;0.82;0.86;Thrive
Davidson College;1,843;NC;17;0.93;19%;0.90;49,500;0.68;2.51;A;4.66;2.80;$356,000;0.81;$929,000;0.81;$13,095;0.80;2.41;$51,447;0.79;0.79;$441,961;0.07;7%;0.69;0.76;Thrive
Denison University;2,365;OH;43;0.81;34%;0.82;33,100;0.54;2.17;B+;4.00;2.40;$266,000;0.39;$742,000;0.43;$10,537;0.65;1.48;$51,960;0.81;0.35;$359,584;0.10;16%;0.94;1.04;Perish
DePaul University;18,185;IL;125;0.45;68%;0.45;74,000;0.82;1.72;A;4.66;2.80;$270,000;0.42;$789,000;0.56;$7,943;0.38;1.37;$39,975;0.54;0.45;$32,632;0.67;0%;0.00;0.67;Thrive
DePauw University;2,139;IN;46;0.81;63%;0.53;22,200;0.40;1.74;B+;4.00;2.40;$313,000;0.67;$838,000;0.66;$10,776;0.68;2.01;$49,704;0.76;0.41;$341,678;0.11;14%;0.89;1.01;Perish
Dickinson College;2,361;PA;46;0.81;49%;0.71;33,100;0.54;2.05;C;2.66;1.60;$310,000;0.65;$869,000;0.71;$10,606;0.66;2.03;$54,661;0.91;0.27;$185,314;0.19;14%;0.89;1.08;Perish
Drake University;3,760;IA;130;0.44;68%;0.44;40,500;0.61;1.49;B+;4.00;2.40;$322,000;0.71;$890,000;0.73;$8,451;0.44;1.88;$41,396;0.58;0.43;$58,376;0.51;1%;0.14;0.65;Thrive
Drew University;1,882;NJ;117;0.50;69%;0.41;22,200;0.40;1.31;C+;3.00;1.80;$266,000;0.39;$779,000;0.55;$9,065;0.52;1.46;$39,800;0.53;0.24;$48,689;0.56;7%;0.69;1.25;Perish
Drexel University;18,312;PA;97;0.57;77%;0.23;110,000;0.89;1.69;B+;4.00;2.40;$356,000;0.81;$1,026,000;0.88;$10,988;0.70;2.39;$53,244;0.85;0.42;$42,582;0.60;9%;0.76;1.35;Survive
Duke University;15,700;NC;10;0.96;9%;0.97;201,000;0.98;2.91;A+;5.00;3.00;$505,000;0.97;$1,327,000;0.97;$39,871;0.98;2.92;$55,695;0.97;0.97;$542,984;0.06;8%;0.72;0.78;Thrive
